year,month,week_number,inflation_rate,inflation_mom_change
2019,6,36,3.8,-1.2000000000000002
2019,6,37,3.8,-1.2000000000000002
2019,6,38,3.8,-1.2000000000000002
2019,6,39,3.8,-1.2000000000000002
2019,6,40,3.8,-1.2000000000000002
2019,6,41,3.8,-1.2000000000000002
2019,6,42,3.8,-1.2000000000000002
2019,6,43,3.8,-1.2000000000000002
2019,6,44,3.8,-1.2000000000000002
2019,6,45,3.8,-1.2000000000000002
2019,6,46,3.8,-1.2000000000000002
2019,6,47,3.8,-1.2000000000000002
2019,6,48,3.8,-1.2000000000000002
2019,6,49,3.8,-1.2000000000000002
2019,6,50,3.8,-1.2000000000000002
2019,6,51,3.8,-1.2000000000000002
2019,6,52,3.8,-1.2000000000000002
2019,6,53,3.8,-1.2000000000000002
2019,7,1,3.3,-0.5
2019,7,2,3.3,-0.5
2019,7,3,3.3,-0.5
2019,7,4,3.3,-0.5
2019,7,5,3.3,-0.5
2019,7,6,3.3,-0.5
2019,7,7,3.3,-0.5
2019,7,8,3.3,-0.5
2019,7,9,3.3,-0.5
2019,7,10,3.3,-0.5
2019,7,11,3.3,-0.5
2019,7,12,3.3,-0.5
2019,7,13,3.3,-0.5
2019,7,14,3.3,-0.5
2019,7,15,3.3,-0.5
2019,7,16,3.3,-0.5
2019,7,17,3.3,-0.5
2019,7,18,3.3,-0.5
2019,7,19,3.3,-0.5
2019,7,20,3.3,-0.5
2019,7,21,3.3,-0.5
2019,7,22,3.3,-0.5
2019,7,23,3.3,-0.5
2019,7,24,3.3,-0.5
2019,7,25,3.3,-0.5
2019,7,26,3.3,-0.5
2019,7,27,3.3,-0.5
2019,7,28,3.3,-0.5
2019,7,29,3.3,-0.5
2019,7,30,3.3,-0.5
2019,7,31,3.3,-0.5
2019,7,32,3.3,-0.5
2019,7,33,3.3,-0.5
2019,7,34,3.3,-0.5
2019,7,35,3.3,-0.5
2019,7,36,3.3,-0.5
2019,7,37,3.3,-0.5
2019,7,38,3.3,-0.5
2019,7,39,3.3,-0.5
2019,7,40,3.3,-0.5
2019,7,41,3.3,-0.5
2019,7,42,3.3,-0.5
2019,7,43,3.3,-0.5
2019,7,44,3.3,-0.5
2019,7,45,3.3,-0.5
2019,7,46,3.3,-0.5
2019,7,47,3.3,-0.5
2019,7,48,3.3,-0.5
2019,7,49,3.3,-0.5
2019,7,50,3.3,-0.5
2019,7,51,3.3,-0.5
2019,7,52,3.3,-0.5
2019,7,53,3.3,-0.5
2019,8,1,3.4,0.10000000000000009
2019,8,2,3.4,0.10000000000000009
2019,8,3,3.4,0.10000000000000009
2019,8,4,3.4,0.10000000000000009
2019,8,5,3.4,0.10000000000000009
2019,8,6,3.4,0.10000000000000009
